"movie_name","movie_url","score","evalue_users","year","other"
"第六感 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1297630/",8.8,198176,1999," 美国 / 剧情 / 悬疑 / 恐怖"
"拯救大兵瑞恩 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292849/",8.8,195597,1998," 美国 / 剧情 / 历史 / 战争"
"玩具总动员3 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1858711/",8.8,171145,2010," 美国 / 喜剧 / 动画 / 奇幻 / 冒险"
"你看起来好像很好吃 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/4848115/",8.8,151087,2010," 日本 / 剧情 / 动画 / 儿童"
"风之谷 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291585/",8.8,150128,1984," 日本 / 科幻 / 动画 / 奇幻 / 冒险"
"侧耳倾听 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1297052/",8.8,139565,1995," 日本 / 剧情 / 爱情 / 动画 / 音乐"
"燃情岁月 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1295865/",8.8,133287,1994," 美国 / 剧情 / 爱情 / 西部 / 家庭"
"萤火之森 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/5989818/",8.8,124013,2011," 日本 / 剧情 / 爱情 / 动画 / 奇幻"
"魂断蓝桥 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1293964/",8.8,113175,1940," 美国 / 剧情 / 战争 / 爱情"
"穿条纹睡衣的男孩 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/3008247/",8.8,107731,2008," 英国 / 美国 / 剧情 / 战争"
"房间 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/25724855/",8.8,104179,2015," 爱尔兰 / 加拿大 / 剧情 / 家庭"
"卢旺达饭店 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291822/",8.8,98076,2004," 英国 / 南非 / 意大利 / 美国 / 剧情 / 历史 / 战争"
"红辣椒 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1865703/",8.8,96837,2006," 日本 / 动画 / 悬疑 / 科幻 / 惊悚"
"聚焦 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/25954475/",8.8,91037,2015," 美国 / 加拿大 / 剧情 / 传记"
"我是山姆 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1306861/",8.8,85814,2001," 美国 / 剧情 / 家庭"
"海洋之歌 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/11584019/",8.8,71288,2016," 爱尔兰 / 丹麦 / 比利时 / 卢森堡 / 法国 / 剧情 / 动画 / 奇幻"
"极速风流 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/6803494/",8.8,66355,2015," 英国 / 美国 / 德国 / 剧情 / 传记 / 运动"
"惊魂记 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1293181/",8.8,65514,1960," 美国 / 悬疑 / 恐怖"
"哪吒闹海 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1307315/",8.8,65440,1979," 中国大陆 / 冒险 / 动画 / 奇幻"
"地球上的星星 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/2363506/",8.8,63946,2007," 印度 / 剧情 / 儿童 / 家庭"
"让子弹飞 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/3742360/",8.7,550746,2010," 中国大陆 / 香港 / 剧情 / 喜剧 / 动作 / 西部"
"天使爱美丽 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292215/",8.7,427798,2001," 法国 / 德国 / 喜剧 / 爱情"
"剪刀手爱德华 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292370/",8.7,423457,1990," 美国 / 剧情 / 奇幻 / 爱情"
"七宗罪 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292223/",8.7,384015,1995," 美国 / 剧情 / 犯罪 / 悬疑 / 惊悚"
"本杰明·巴顿奇事 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1485260/",8.7,345590,2008," 美国 / 剧情 / 爱情 / 奇幻"
"蝴蝶效应 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292343/",8.7,333239,2004," 美国 / 加拿大 / 剧情 / 悬疑 / 科幻 / 惊悚"
"沉默的羔羊 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1293544/",8.7,300024,1991," 美国 / 剧情 / 犯罪 / 惊悚"
"西西里的美丽传说 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292402/",8.7,287745,2000," 意大利 / 美国 / 剧情 / 战争 / 情色"
"消失的爱人 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/21318488/",8.7,284402,2014," 美国 / 剧情 / 犯罪 / 悬疑 / 惊悚"
"低俗小说 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291832/",8.7,282093,1994," 美国 / 剧情 / 犯罪"
"布达佩斯大饭店 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/11525673/",8.7,247835,2014," 美国 / 德国 / 英国 / 剧情 / 喜剧"
"驯龙高手 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/2353023/",8.7,245361,2010," 美国 / 喜剧 / 动画 / 奇幻 / 冒险 / 家庭"
"黑客帝国 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291843/",8.7,238756,1999," 美国 / 澳大利亚 / 动作 / 科幻"
"射雕英雄传之东成西就 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1316510/",8.7,233462,1993," 香港 / 喜剧 / 古装"
"阳光灿烂的日子 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291875/",8.7,230325,1995," 中国大陆 / 香港 / 剧情"
"心灵捕手 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292656/",8.7,225075,1997," 美国 / 剧情"
"大鱼 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291545/",8.7,214965,2003," 美国 / 剧情 / 家庭 / 奇幻 / 冒险"
"甜蜜蜜 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1305164/",8.7,197075,2015," 香港 / 剧情 / 爱情"
